toc_id,parent_id,level,chapter_no,section_no,article_no,title,page,source_text,hierarchy_confidence,software_category,liner_relevance,rule_engine_candidate,project_mapping_candidate,body_research_priority,notes
T316,T315,4,9,3,1,道路標識,658,9-3-1道路標,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T317,T315,4,9,3,2,道路標示（仮）,661,9-3-2-,LOW,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,タイトルOCR不明瞭。道路標示と推定。要本文確認。
T318,T315,4,9,3,3,非常電話,662,9-33非常電話,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T319,T315,4,9,3,4,道路情報提供装置等,663,9-3-4道路情報提供装置等,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T320,T315,4,9,3,5,車両感知装置,664,9-3-5車而視装置,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T321,T315,4,9,3,6,車両諸元計測施設,666,9-3-6車而诸元计测施設,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T322,T315,4,9,3,7,料金所,667,9-3-7料金所,HIGH,SAFETY_FACILITY;STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T323,T315,4,9,3,8,交通信号機,669,9-3-8交通信号機,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T324,T305,3,9,4,,自動車駐車場,670,9-4自動車驻車場,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T325,T324,4,9,4,1,概説（仮）,678,9-4-1自動車驻車場,LOW,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,タイトルOCR不明瞭。仮訳。
T326,T324,4,9,4,2,路外駐車場,678,9-4-2路外自車驻車場,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T327,T324,4,9,4,3,路上駐車場等,681,9-4-3路上自車等驻車場,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T328,T324,4,9,4,4,乗合自動車停留施設,681,9-4-4乘合自動車停留施設,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T329,T324,4,9,4,5,非常駐車帯,688,9-4-5非常驻車带,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T330,T324,4,9,4,6,特定車両停留施設,692,9-4-6特定車而停留施設,HIGH,STRUCTURAL_REQUIREMENT,P2_FUTURE,RULE-23,NO,C,令和2年改正で追加。
T331,T324,4,9,4,7,休憩施設,694,9-4-7休憩施設,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T332,T324,4,9,4,8,緊急避難所,696,9-4-8聚急避所,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T333,T324,4,9,4,9,着脱場,697,9-4-9着脱場,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T334,T305,3,9,5,,防雪施設・除雪・融雪施設,698,9-5防雪施設书除雪·融雪施設,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T335,T334,4,9,5,1,防雪施設,698,9-5-1防雪施,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T336,T334,4,9,5,2,除雪・融雪施設,699,9-5-2除雪·融雪施設,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T337,T334,4,9,5,3,除雪基地,701,9-5-3除雪基地,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T338,T305,3,9,6,,落石等に対する防護施設,702,9-6落石等对寸防護施設,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T339,T338,4,9,6,1,落石等防止施設,702,9-6-1落石等防止施設,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T340,T338,4,9,6,2,防波施設・防砂施設等,705,9-6-2防波施設，防砂施設等,HIGH,SAFETY_FACILITY,P3_REFERENCE,NO,NO,C,
T341,T305,3,9,7,,共同溝等,707,9-7共同溝等（共同满電線共同溝）,HIGH,STRUCTURAL_REQUIREMENT,P3_REFERENCE,NO,NO,C,
T342,T055,2,10,,,第10章 雑則,711,第10章雜则,HIGH,EXCEPTION_RULE,P2_FUTURE,RULE-23,NO,C,特例規定。Rule Engineの例外処理ロジックの根拠。
T343,T342,3,10,1,,附帯工事等の特例,713,10-1附带工事等の特例,HIGH,EXCEPTION_RULE,P2_FUTURE,RULE-23,NO,C,
T344,T342,3,10,2,,区分変更道路の特例,715,10-2区分变更道路の特例,HIGH,EXCEPTION_RULE,P2_FUTURE,RULE-23,NO,C,
T345,T342,3,10,3,,小区間改良の場合の特例,717,10-3小区間改の場合の特例,HIGH,EXCEPTION_RULE,P2_FUTURE,RULE-23,NO,C,
T346,,1,,,,主要参考図書,716-717,主女参考区書,MEDIUM,REFERENCE_ONLY,P3_REFERENCE,NO,NO,C,"主要参考図書78件（AASHTO, DMRB, RASt06等、海外基準を含む）。本文フェーズで参考資料リスト化。"
